Model, Phase, Block, Item, Response, Clusters number
SUSTAIN, generalization, 4, 2, 1, 2,
SUSTAIN, generalization, 4, 9, 1, 2,
SUSTAIN, generalization, 4, 3, 1, 2,
SUSTAIN, generalization, 4, 61, 1.0, 3,
SUSTAIN, generalization, 4, 29, 2.0, 4,
SUSTAIN, generalization, 4, 49, 2.0, 5,
SUSTAIN, generalization, 4, 31, 2, 5,
SUSTAIN, generalization, 4, 11, 1, 5,
SUSTAIN, generalization, 4, 35, 1.0, 6,
SUSTAIN, generalization, 4, 41, 2, 6,
SUSTAIN, generalization, 4, 53, 1, 6,
SUSTAIN, generalization, 4, 58, 2, 6,
SUSTAIN, generalization, 4, 17, 1.0, 7,
SUSTAIN, generalization, 4, 47, 1.0, 8,
SUSTAIN, generalization, 4, 63, 2, 8,
SUSTAIN, generalization, 4, 14, 1.0, 9,
SUSTAIN, generalization, 4, 4, 1.0, 10,
SUSTAIN, generalization, 4, 28, 2, 10,
SUSTAIN, generalization, 4, 60, 1, 10,
SUSTAIN, generalization, 4, 10, 1, 10,
SUSTAIN, generalization, 4, 23, 2.0, 11,
SUSTAIN, generalization, 4, 55, 2, 11,
SUSTAIN, generalization, 4, 6, 1, 11,
SUSTAIN, generalization, 4, 64, 2, 11,
SUSTAIN, generalization, 4, 30, 2, 11,
SUSTAIN, generalization, 4, 40, 2.0, 12,
SUSTAIN, generalization, 4, 62, 1, 12,
SUSTAIN, generalization, 4, 15, 1, 12,
SUSTAIN, generalization, 4, 50, 2, 12,
SUSTAIN, generalization, 4, 57, 1, 12,
SUSTAIN, generalization, 4, 13, 1, 12,
SUSTAIN, generalization, 4, 34, 1, 12,
SUSTAIN, generalization, 4, 27, 1, 12,
SUSTAIN, generalization, 4, 25, 1, 12,
SUSTAIN, generalization, 4, 21, 2, 12,
SUSTAIN, generalization, 4, 56, 2, 12,
SUSTAIN, generalization, 4, 46, 1, 12,
SUSTAIN, generalization, 4, 18, 1, 12,
SUSTAIN, generalization, 4, 43, 1, 12,
SUSTAIN, generalization, 4, 59, 1.0, 13,
SUSTAIN, generalization, 4, 19, 1.0, 14,
SUSTAIN, generalization, 4, 39, 2, 14,
SUSTAIN, generalization, 4, 26, 1.0, 15,
SUSTAIN, generalization, 4, 20, 1, 15,
SUSTAIN, generalization, 4, 38, 1.0, 16,
SUSTAIN, generalization, 4, 16, 1.0, 17,
SUSTAIN, generalization, 4, 7, 2.0, 18,
SUSTAIN, generalization, 4, 5, 1, 18,
SUSTAIN, generalization, 4, 42, 1.0, 19,
SUSTAIN, generalization, 4, 1, 1.0, 20,
SUSTAIN, generalization, 4, 24, 2, 20,
SUSTAIN, generalization, 4, 36, 1, 20,
SUSTAIN, generalization, 4, 44, 2.0, 21,
SUSTAIN, generalization, 4, 37, 1, 21,
SUSTAIN, generalization, 4, 8, 2, 21,
SUSTAIN, generalization, 4, 54, 1.0, 22,
SUSTAIN, generalization, 4, 32, 1.0, 23,
SUSTAIN, generalization, 4, 48, 1, 23,
SUSTAIN, generalization, 4, 12, 1.0, 24,
SUSTAIN, generalization, 4, 22, 2, 24,
SUSTAIN, generalization, 4, 52, 1.0, 25,
SUSTAIN, generalization, 4, 33, 1.0, 26,
SUSTAIN, generalization, 4, 45, 2, 26,
SUSTAIN, generalization, 4, 51, 1, 26,
SUSTAIN, generalization, 5, 21, 2.0, 3,
SUSTAIN, generalization, 5, 29, 2, 3,
SUSTAIN, generalization, 5, 57, 1.0, 4,
SUSTAIN, generalization, 5, 2, 1, 4,
SUSTAIN, generalization, 5, 16, 1.0, 5,
SUSTAIN, generalization, 5, 56, 2, 5,
SUSTAIN, generalization, 5, 41, 1, 5,
SUSTAIN, generalization, 5, 53, 1.0, 6,
SUSTAIN, generalization, 5, 40, 1.0, 7,
SUSTAIN, generalization, 5, 50, 1, 7,
SUSTAIN, generalization, 5, 32, 1, 7,
SUSTAIN, generalization, 5, 62, 1, 7,
SUSTAIN, generalization, 5, 44, 1, 7,
SUSTAIN, generalization, 5, 37, 2, 7,
SUSTAIN, generalization, 5, 60, 1, 7,
SUSTAIN, generalization, 5, 64, 2, 7,
SUSTAIN, generalization, 5, 15, 1, 7,
SUSTAIN, generalization, 5, 23, 1, 7,
SUSTAIN, generalization, 5, 10, 1, 7,
SUSTAIN, generalization, 5, 13, 2, 7,
SUSTAIN, generalization, 5, 34, 1.0, 8,
SUSTAIN, generalization, 5, 4, 2.0, 9,
SUSTAIN, generalization, 5, 36, 1, 9,
SUSTAIN, generalization, 5, 25, 2.0, 10,
SUSTAIN, generalization, 5, 3, 2, 10,
SUSTAIN, generalization, 5, 55, 2, 10,
SUSTAIN, generalization, 5, 11, 1.0, 11,
SUSTAIN, generalization, 5, 58, 1, 11,
SUSTAIN, generalization, 5, 46, 1.0, 12,
SUSTAIN, generalization, 5, 30, 1.0, 13,
SUSTAIN, generalization, 5, 43, 2.0, 14,
SUSTAIN, generalization, 5, 9, 1, 14,
SUSTAIN, generalization, 5, 1, 1, 14,
SUSTAIN, generalization, 5, 61, 1, 14,
SUSTAIN, generalization, 5, 49, 1, 14,
SUSTAIN, generalization, 5, 42, 2, 14,
SUSTAIN, generalization, 5, 39, 1, 14,
SUSTAIN, generalization, 5, 27, 1.0, 15,
SUSTAIN, generalization, 5, 14, 1.0, 16,
SUSTAIN, generalization, 5, 5, 2, 16,
SUSTAIN, generalization, 5, 22, 1, 16,
SUSTAIN, generalization, 5, 20, 1, 16,
SUSTAIN, generalization, 5, 18, 1.0, 17,
SUSTAIN, generalization, 5, 26, 2, 17,
SUSTAIN, generalization, 5, 63, 2, 17,
SUSTAIN, generalization, 5, 17, 1, 17,
SUSTAIN, generalization, 5, 59, 1.0, 18,
SUSTAIN, generalization, 5, 8, 1.0, 19,
SUSTAIN, generalization, 5, 7, 1, 19,
SUSTAIN, generalization, 5, 51, 1, 19,
SUSTAIN, generalization, 5, 35, 1, 19,
SUSTAIN, generalization, 5, 33, 1, 19,
SUSTAIN, generalization, 5, 28, 1, 19,
SUSTAIN, generalization, 5, 12, 1, 19,
SUSTAIN, generalization, 5, 38, 1, 19,
SUSTAIN, generalization, 5, 48, 1.0, 20,
SUSTAIN, generalization, 5, 24, 1, 20,
SUSTAIN, generalization, 5, 45, 1, 20,
SUSTAIN, generalization, 5, 6, 1, 20,
SUSTAIN, generalization, 5, 54, 1, 20,
SUSTAIN, generalization, 5, 31, 1, 20,
SUSTAIN, generalization, 5, 52, 1, 20,
SUSTAIN, generalization, 5, 19, 1, 20,
SUSTAIN, generalization, 5, 47, 1, 20,
SUSTAIN, generalization, 6, 26, 2.0, 3,
SUSTAIN, generalization, 6, 18, 2, 3,
SUSTAIN, generalization, 6, 14, 2.0, 4,
SUSTAIN, generalization, 6, 63, 2, 4,
SUSTAIN, generalization, 6, 32, 1.0, 5,
SUSTAIN, generalization, 6, 34, 2, 5,
SUSTAIN, generalization, 6, 62, 2, 5,
SUSTAIN, generalization, 6, 30, 1, 5,
SUSTAIN, generalization, 6, 3, 1, 5,
SUSTAIN, generalization, 6, 11, 1, 5,
SUSTAIN, generalization, 6, 55, 2, 5,
SUSTAIN, generalization, 6, 44, 1.0, 6,
SUSTAIN, generalization, 6, 7, 1.0, 7,
SUSTAIN, generalization, 6, 4, 1.0, 8,
SUSTAIN, generalization, 6, 50, 2.0, 9,
SUSTAIN, generalization, 6, 53, 1, 9,
SUSTAIN, generalization, 6, 1, 1, 9,
SUSTAIN, generalization, 6, 57, 2, 9,
SUSTAIN, generalization, 6, 21, 1.0, 10,
SUSTAIN, generalization, 6, 64, 2, 10,
SUSTAIN, generalization, 6, 22, 1, 10,
SUSTAIN, generalization, 6, 40, 1, 10,
SUSTAIN, generalization, 6, 28, 2, 10,
SUSTAIN, generalization, 6, 61, 1.0, 11,
SUSTAIN, generalization, 6, 2, 1, 11,
SUSTAIN, generalization, 6, 27, 2, 11,
SUSTAIN, generalization, 6, 49, 2, 11,
SUSTAIN, generalization, 6, 5, 1, 11,
SUSTAIN, generalization, 6, 12, 1, 11,
SUSTAIN, generalization, 6, 37, 2.0, 12,
SUSTAIN, generalization, 6, 17, 1.0, 13,
SUSTAIN, generalization, 6, 54, 1.0, 14,
SUSTAIN, generalization, 6, 10, 1, 14,
SUSTAIN, generalization, 6, 13, 2, 14,
SUSTAIN, generalization, 6, 16, 1.0, 15,
SUSTAIN, generalization, 6, 33, 1.0, 16,
SUSTAIN, generalization, 6, 47, 1.0, 17,
SUSTAIN, generalization, 6, 31, 1, 17,
SUSTAIN, generalization, 6, 52, 1, 17,
SUSTAIN, generalization, 6, 60, 1, 17,
SUSTAIN, generalization, 6, 9, 1, 17,
SUSTAIN, generalization, 6, 6, 1, 17,
SUSTAIN, generalization, 6, 48, 1, 17,
SUSTAIN, generalization, 6, 51, 2, 17,
SUSTAIN, generalization, 6, 19, 2.0, 18,
SUSTAIN, generalization, 6, 23, 2.0, 19,
SUSTAIN, generalization, 6, 35, 1.0, 20,
SUSTAIN, generalization, 6, 36, 2, 20,
SUSTAIN, generalization, 6, 38, 2, 20,
