Model, Phase, Block, Item, Response, Clusters number
SUSTAIN, generalization, 46, 50, 1.0, 26,
SUSTAIN, generalization, 46, 27, 2, 26,
SUSTAIN, generalization, 46, 59, 1, 26,
SUSTAIN, generalization, 47, 7, 2.0, 8,
SUSTAIN, generalization, 47, 5, 2, 8,
SUSTAIN, generalization, 47, 35, 1.0, 9,
SUSTAIN, generalization, 47, 40, 1.0, 10,
SUSTAIN, generalization, 47, 23, 1.0, 11,
SUSTAIN, generalization, 47, 33, 1, 11,
SUSTAIN, generalization, 47, 53, 2, 11,
SUSTAIN, generalization, 47, 16, 1, 11,
SUSTAIN, generalization, 47, 18, 1, 11,
SUSTAIN, generalization, 47, 10, 1, 11,
SUSTAIN, generalization, 47, 37, 1, 11,
SUSTAIN, generalization, 47, 1, 2, 11,
SUSTAIN, generalization, 47, 60, 1.0, 12,
SUSTAIN, generalization, 47, 62, 2, 12,
SUSTAIN, generalization, 47, 25, 2.0, 13,
SUSTAIN, generalization, 47, 31, 1, 13,
SUSTAIN, generalization, 47, 2, 1, 13,
SUSTAIN, generalization, 47, 44, 2.0, 14,
SUSTAIN, generalization, 47, 12, 1, 14,
SUSTAIN, generalization, 47, 3, 1, 14,
SUSTAIN, generalization, 47, 13, 2.0, 15,
SUSTAIN, generalization, 47, 55, 2, 15,
SUSTAIN, generalization, 47, 48, 1, 15,
SUSTAIN, generalization, 47, 52, 1, 15,
SUSTAIN, generalization, 47, 6, 2, 15,
SUSTAIN, generalization, 47, 19, 2.0, 16,
SUSTAIN, generalization, 47, 11, 1, 16,
SUSTAIN, generalization, 47, 49, 1.0, 17,
SUSTAIN, generalization, 47, 20, 2, 17,
SUSTAIN, generalization, 47, 46, 2, 17,
SUSTAIN, generalization, 47, 22, 1, 17,
SUSTAIN, generalization, 47, 50, 1, 17,
SUSTAIN, generalization, 47, 14, 2, 17,
SUSTAIN, generalization, 47, 56, 2, 17,
SUSTAIN, generalization, 47, 24, 1, 17,
SUSTAIN, generalization, 47, 28, 1.0, 18,
SUSTAIN, generalization, 47, 21, 2, 18,
SUSTAIN, generalization, 47, 15, 1, 18,
SUSTAIN, generalization, 47, 58, 2.0, 19,
SUSTAIN, generalization, 47, 43, 2, 19,
SUSTAIN, generalization, 47, 8, 2, 19,
SUSTAIN, generalization, 47, 39, 1, 19,
SUSTAIN, generalization, 47, 17, 2, 19,
SUSTAIN, generalization, 47, 64, 1, 19,
SUSTAIN, generalization, 47, 59, 1, 19,
SUSTAIN, generalization, 47, 26, 2, 19,
SUSTAIN, generalization, 47, 9, 1, 19,
SUSTAIN, generalization, 47, 42, 1.0, 20,
SUSTAIN, generalization, 47, 38, 1.0, 21,
SUSTAIN, generalization, 47, 36, 1, 21,
SUSTAIN, generalization, 47, 57, 2, 21,
SUSTAIN, generalization, 47, 47, 2, 21,
SUSTAIN, generalization, 47, 30, 2.0, 22,
SUSTAIN, generalization, 47, 54, 2, 22,
SUSTAIN, generalization, 47, 51, 2.0, 23,
SUSTAIN, generalization, 47, 41, 1, 23,
SUSTAIN, generalization, 47, 27, 1, 23,
SUSTAIN, generalization, 47, 45, 2, 23,
SUSTAIN, generalization, 47, 4, 2.0, 24,
SUSTAIN, generalization, 47, 32, 1.0, 25,
SUSTAIN, generalization, 47, 29, 2, 25,
SUSTAIN, generalization, 47, 34, 1, 25,
SUSTAIN, generalization, 47, 63, 2, 25,
SUSTAIN, generalization, 47, 61, 1, 25,
SUSTAIN, generalization, 48, 61, 2, 7,
SUSTAIN, generalization, 48, 63, 2, 7,
SUSTAIN, generalization, 48, 32, 1.0, 8,
SUSTAIN, generalization, 48, 54, 2, 8,
SUSTAIN, generalization, 48, 48, 2, 8,
SUSTAIN, generalization, 48, 15, 2.0, 9,
SUSTAIN, generalization, 48, 50, 1.0, 10,
SUSTAIN, generalization, 48, 51, 1, 10,
SUSTAIN, generalization, 48, 45, 1.0, 11,
SUSTAIN, generalization, 48, 4, 1, 11,
SUSTAIN, generalization, 48, 37, 1, 11,
SUSTAIN, generalization, 48, 40, 1, 11,
SUSTAIN, generalization, 48, 58, 1, 11,
SUSTAIN, generalization, 48, 25, 2.0, 12,
SUSTAIN, generalization, 48, 33, 2, 12,
SUSTAIN, generalization, 48, 2, 1, 12,
SUSTAIN, generalization, 48, 24, 1, 12,
SUSTAIN, generalization, 48, 17, 2, 12,
SUSTAIN, generalization, 48, 64, 1, 12,
SUSTAIN, generalization, 48, 38, 1, 12,
SUSTAIN, generalization, 48, 18, 1, 12,
SUSTAIN, generalization, 48, 23, 2, 12,
SUSTAIN, generalization, 48, 57, 1.0, 13,
SUSTAIN, generalization, 48, 39, 2.0, 14,
SUSTAIN, generalization, 48, 28, 1.0, 15,
SUSTAIN, generalization, 48, 53, 1, 15,
SUSTAIN, generalization, 48, 59, 2.0, 16,
SUSTAIN, generalization, 48, 43, 1, 16,
SUSTAIN, generalization, 48, 41, 1.0, 17,
SUSTAIN, generalization, 48, 14, 2, 17,
SUSTAIN, generalization, 48, 6, 1.0, 18,
SUSTAIN, generalization, 48, 42, 1, 18,
SUSTAIN, generalization, 48, 36, 1, 18,
SUSTAIN, generalization, 48, 35, 2.0, 19,
SUSTAIN, generalization, 48, 22, 1.0, 20,
SUSTAIN, generalization, 48, 10, 1, 20,
SUSTAIN, generalization, 48, 44, 1, 20,
SUSTAIN, generalization, 48, 5, 1, 20,
SUSTAIN, generalization, 48, 49, 1, 20,
SUSTAIN, generalization, 48, 26, 2, 20,
SUSTAIN, generalization, 48, 19, 2.0, 21,
SUSTAIN, generalization, 48, 1, 2, 21,
SUSTAIN, generalization, 48, 31, 1, 21,
SUSTAIN, generalization, 48, 8, 2.0, 22,
SUSTAIN, generalization, 48, 20, 2, 22,
SUSTAIN, generalization, 48, 9, 1, 22,
SUSTAIN, generalization, 48, 7, 2, 22,
SUSTAIN, generalization, 48, 52, 1.0, 23,
SUSTAIN, generalization, 48, 34, 2, 23,
SUSTAIN, generalization, 48, 60, 2, 23,
SUSTAIN, generalization, 48, 27, 1, 23,
SUSTAIN, generalization, 48, 3, 1, 23,
SUSTAIN, generalization, 48, 16, 2, 23,
SUSTAIN, generalization, 48, 47, 2, 23,
SUSTAIN, generalization, 48, 30, 1, 23,
SUSTAIN, generalization, 48, 46, 1, 23,
SUSTAIN, generalization, 48, 11, 1.0, 24,
SUSTAIN, generalization, 48, 29, 1, 24,
SUSTAIN, generalization, 48, 55, 2, 24,
SUSTAIN, generalization, 48, 13, 2.0, 25,
SUSTAIN, generalization, 48, 12, 2, 25,
SUSTAIN, generalization, 48, 56, 2, 25,
SUSTAIN, generalization, 48, 62, 2, 25,
SUSTAIN, generalization, 48, 21, 1, 25,
SUSTAIN, generalization, 49, 64, 1, 7,
SUSTAIN, generalization, 49, 49, 1.0, 8,
SUSTAIN, generalization, 49, 17, 1, 8,
SUSTAIN, generalization, 49, 37, 1.0, 9,
SUSTAIN, generalization, 49, 52, 1, 9,
SUSTAIN, generalization, 49, 19, 2.0, 10,
SUSTAIN, generalization, 49, 23, 1.0, 11,
SUSTAIN, generalization, 49, 3, 1, 11,
SUSTAIN, generalization, 49, 16, 1, 11,
SUSTAIN, generalization, 49, 8, 2.0, 12,
SUSTAIN, generalization, 49, 48, 2, 12,
SUSTAIN, generalization, 49, 26, 1.0, 13,
SUSTAIN, generalization, 49, 13, 1.0, 14,
SUSTAIN, generalization, 49, 20, 2, 14,
SUSTAIN, generalization, 49, 24, 1, 14,
SUSTAIN, generalization, 49, 36, 1, 14,
SUSTAIN, generalization, 49, 39, 1, 14,
SUSTAIN, generalization, 49, 46, 1, 14,
SUSTAIN, generalization, 49, 1, 2, 14,
SUSTAIN, generalization, 49, 61, 2, 14,
SUSTAIN, generalization, 49, 33, 2.0, 15,
SUSTAIN, generalization, 49, 38, 1, 15,
SUSTAIN, generalization, 49, 35, 2, 15,
SUSTAIN, generalization, 49, 31, 1, 15,
SUSTAIN, generalization, 49, 5, 1, 15,
SUSTAIN, generalization, 49, 4, 1, 15,
SUSTAIN, generalization, 49, 54, 2, 15,
SUSTAIN, generalization, 49, 32, 2.0, 16,
SUSTAIN, generalization, 49, 42, 2.0, 17,
SUSTAIN, generalization, 49, 27, 1, 17,
SUSTAIN, generalization, 49, 34, 2, 17,
SUSTAIN, generalization, 49, 18, 2, 17,
SUSTAIN, generalization, 49, 45, 1, 17,
SUSTAIN, generalization, 49, 11, 2, 17,
SUSTAIN, generalization, 49, 51, 1, 17,
SUSTAIN, generalization, 49, 30, 1.0, 18,
SUSTAIN, generalization, 49, 53, 1.0, 19,
SUSTAIN, generalization, 49, 22, 1, 19,
SUSTAIN, generalization, 49, 12, 1, 19,
SUSTAIN, generalization, 49, 6, 1.0, 20,
SUSTAIN, generalization, 49, 44, 1.0, 21,
SUSTAIN, generalization, 49, 9, 1, 21,
SUSTAIN, generalization, 49, 59, 1.0, 22,
SUSTAIN, generalization, 49, 47, 2, 22,
SUSTAIN, generalization, 49, 50, 1, 22,
SUSTAIN, generalization, 49, 58, 1, 22,
SUSTAIN, generalization, 49, 43, 1, 22,
SUSTAIN, generalization, 49, 7, 2, 22,
SUSTAIN, generalization, 49, 57, 1.0, 23,
SUSTAIN, generalization, 49, 10, 1, 23,
SUSTAIN, generalization, 49, 14, 1, 23,
SUSTAIN, generalization, 49, 62, 2, 23,
SUSTAIN, generalization, 49, 56, 2, 23,
SUSTAIN, generalization, 49, 55, 2, 23,
SUSTAIN, generalization, 49, 60, 1, 23,
SUSTAIN, generalization, 49, 21, 2.0, 24,
SUSTAIN, generalization, 49, 63, 2, 24,
SUSTAIN, generalization, 49, 2, 1, 24,
SUSTAIN, generalization, 49, 41, 2, 24,
SUSTAIN, generalization, 49, 40, 1.0, 25,
SUSTAIN, generalization, 49, 29, 1, 25,
SUSTAIN, generalization, 49, 28, 1.0, 26,
SUSTAIN, generalization, 49, 25, 1, 26,
SUSTAIN, generalization, 49, 15, 2.0, 27,
SUSTAIN, generalization, 50, 6, 2.0, 7,
SUSTAIN, generalization, 50, 18, 1, 7,
SUSTAIN, generalization, 50, 45, 1.0, 8,
SUSTAIN, generalization, 50, 14, 2, 8,
SUSTAIN, generalization, 50, 7, 2, 8,
SUSTAIN, generalization, 50, 12, 1, 8,
SUSTAIN, generalization, 50, 48, 2, 8,
SUSTAIN, generalization, 50, 34, 2.0, 9,
SUSTAIN, generalization, 50, 2, 1, 9,
SUSTAIN, generalization, 50, 58, 1.0, 10,
SUSTAIN, generalization, 50, 47, 1, 10,
SUSTAIN, generalization, 50, 27, 1.0, 11,
SUSTAIN, generalization, 50, 49, 1, 11,
SUSTAIN, generalization, 50, 11, 1, 11,
SUSTAIN, generalization, 50, 41, 2, 11,
SUSTAIN, generalization, 50, 30, 2.0, 12,
SUSTAIN, generalization, 50, 46, 1, 12,
SUSTAIN, generalization, 50, 36, 2, 12,
SUSTAIN, generalization, 50, 59, 1, 12,
SUSTAIN, generalization, 50, 42, 2, 12,
SUSTAIN, generalization, 50, 57, 1, 12,
SUSTAIN, generalization, 50, 24, 1.0, 13,
SUSTAIN, generalization, 50, 32, 1, 13,
SUSTAIN, generalization, 50, 5, 2, 13,
SUSTAIN, generalization, 50, 28, 1, 13,
SUSTAIN, generalization, 50, 22, 2, 13,
SUSTAIN, generalization, 50, 54, 2, 13,
SUSTAIN, generalization, 50, 38, 2, 13,
SUSTAIN, generalization, 50, 39, 1.0, 14,
SUSTAIN, generalization, 50, 64, 1, 14,
SUSTAIN, generalization, 50, 35, 2, 14,
SUSTAIN, generalization, 50, 20, 2.0, 15,
SUSTAIN, generalization, 50, 44, 1, 15,
SUSTAIN, generalization, 50, 19, 2, 15,
SUSTAIN, generalization, 50, 10, 1, 15,
SUSTAIN, generalization, 50, 4, 2, 15,
SUSTAIN, generalization, 50, 33, 2, 15,
SUSTAIN, generalization, 50, 61, 1.0, 16,
SUSTAIN, generalization, 50, 15, 1.0, 17,
SUSTAIN, generalization, 50, 1, 2, 17,
SUSTAIN, generalization, 50, 3, 1, 17,
SUSTAIN, generalization, 50, 31, 2, 17,
SUSTAIN, generalization, 50, 37, 1.0, 18,
SUSTAIN, generalization, 50, 16, 1, 18,
SUSTAIN, generalization, 50, 29, 2, 18,
SUSTAIN, generalization, 50, 53, 1, 18,
SUSTAIN, generalization, 50, 51, 2.0, 19,
SUSTAIN, generalization, 50, 52, 2, 19,
SUSTAIN, generalization, 50, 9, 1, 19,
SUSTAIN, generalization, 50, 21, 2, 19,
SUSTAIN, generalization, 50, 17, 2.0, 20,
SUSTAIN, generalization, 50, 56, 2, 20,
SUSTAIN, generalization, 50, 55, 2, 20,
SUSTAIN, generalization, 50, 8, 1.0, 21,
SUSTAIN, generalization, 50, 62, 1, 21,
SUSTAIN, generalization, 50, 50, 2, 21,
SUSTAIN, generalization, 50, 23, 1, 21,
SUSTAIN, generalization, 50, 60, 1, 21,
SUSTAIN, generalization, 50, 25, 1.0, 22,
SUSTAIN, generalization, 50, 40, 1, 22,
SUSTAIN, generalization, 50, 63, 2, 22,
SUSTAIN, generalization, 50, 26, 1, 22,
SUSTAIN, generalization, 50, 13, 2.0, 23,
SUSTAIN, generalization, 50, 43, 1.0, 24,
SUSTAIN, generalization, 51, 31, 1.0, 7,
SUSTAIN, generalization, 51, 29, 1, 7,
SUSTAIN, generalization, 51, 8, 2.0, 8,
SUSTAIN, generalization, 51, 64, 1, 8,
SUSTAIN, generalization, 51, 16, 2, 8,
SUSTAIN, generalization, 51, 59, 1.0, 9,
SUSTAIN, generalization, 51, 36, 1.0, 10,
SUSTAIN, generalization, 51, 61, 1, 10,
SUSTAIN, generalization, 51, 62, 2, 10,
SUSTAIN, generalization, 51, 2, 1, 10,
SUSTAIN, generalization, 51, 58, 1, 10,
SUSTAIN, generalization, 51, 47, 2, 10,
SUSTAIN, generalization, 51, 14, 1.0, 11,
SUSTAIN, generalization, 51, 18, 1, 11,
SUSTAIN, generalization, 51, 39, 1, 11,
SUSTAIN, generalization, 51, 55, 2, 11,
SUSTAIN, generalization, 51, 19, 2.0, 12,
SUSTAIN, generalization, 51, 26, 1.0, 13,
SUSTAIN, generalization, 51, 60, 1, 13,
SUSTAIN, generalization, 51, 42, 2.0, 14,
SUSTAIN, generalization, 51, 20, 2, 14,
SUSTAIN, generalization, 51, 48, 2, 14,
SUSTAIN, generalization, 51, 15, 1, 14,
SUSTAIN, generalization, 51, 11, 2, 14,
SUSTAIN, generalization, 51, 3, 1, 14,
SUSTAIN, generalization, 51, 51, 1, 14,
SUSTAIN, generalization, 51, 5, 2.0, 15,
SUSTAIN, generalization, 51, 53, 1.0, 16,
SUSTAIN, generalization, 51, 12, 1, 16,
SUSTAIN, generalization, 51, 27, 1, 16,
SUSTAIN, generalization, 51, 40, 1.0, 17,
SUSTAIN, generalization, 51, 7, 2, 17,
SUSTAIN, generalization, 51, 37, 1, 17,
SUSTAIN, generalization, 51, 46, 2.0, 18,
SUSTAIN, generalization, 51, 38, 2, 18,
SUSTAIN, generalization, 51, 24, 1.0, 19,
SUSTAIN, generalization, 51, 63, 2, 19,
SUSTAIN, generalization, 51, 4, 2, 19,
SUSTAIN, generalization, 51, 9, 1, 19,
SUSTAIN, generalization, 51, 44, 1, 19,
SUSTAIN, generalization, 51, 34, 2, 19,
SUSTAIN, generalization, 51, 32, 1, 19,
SUSTAIN, generalization, 51, 52, 1, 19,
SUSTAIN, generalization, 51, 45, 2, 19,
SUSTAIN, generalization, 51, 22, 1, 19,
SUSTAIN, generalization, 51, 49, 1.0, 20,
SUSTAIN, generalization, 51, 41, 2, 20,
SUSTAIN, generalization, 51, 35, 1, 20,
SUSTAIN, generalization, 51, 54, 1, 20,
SUSTAIN, generalization, 51, 57, 1, 20,
SUSTAIN, generalization, 51, 25, 1, 20,
SUSTAIN, generalization, 51, 56, 2, 20,
SUSTAIN, generalization, 51, 21, 1.0, 21,
SUSTAIN, generalization, 51, 28, 1.0, 22,
SUSTAIN, generalization, 51, 17, 2.0, 23,
SUSTAIN, generalization, 51, 43, 2, 23,
SUSTAIN, generalization, 51, 10, 1, 23,
SUSTAIN, generalization, 51, 13, 1, 23,
SUSTAIN, generalization, 51, 50, 1, 23,
SUSTAIN, generalization, 51, 1, 2, 23,
SUSTAIN, generalization, 51, 6, 2, 23,
SUSTAIN, generalization, 51, 33, 1.0, 24,
SUSTAIN, generalization, 51, 23, 1, 24,
SUSTAIN, generalization, 51, 30, 1, 24,
SUSTAIN, generalization, 52, 17, 1, 6,
SUSTAIN, generalization, 52, 9, 1, 6,
SUSTAIN, generalization, 52, 20, 1.0, 7,
SUSTAIN, generalization, 52, 32, 1.0, 8,
SUSTAIN, generalization, 52, 37, 2.0, 9,
SUSTAIN, generalization, 52, 5, 1, 9,
SUSTAIN, generalization, 52, 57, 1.0, 10,
SUSTAIN, generalization, 52, 39, 2, 10,
SUSTAIN, generalization, 52, 24, 1, 10,
SUSTAIN, generalization, 52, 21, 1, 10,
SUSTAIN, generalization, 52, 18, 1, 10,
SUSTAIN, generalization, 52, 35, 2, 10,
SUSTAIN, generalization, 52, 10, 1, 10,
SUSTAIN, generalization, 52, 11, 1, 10,
SUSTAIN, generalization, 52, 59, 1, 10,
SUSTAIN, generalization, 52, 12, 1, 10,
SUSTAIN, generalization, 52, 14, 2.0, 11,
SUSTAIN, generalization, 52, 62, 2, 11,
SUSTAIN, generalization, 52, 46, 1.0, 12,
SUSTAIN, generalization, 52, 44, 1, 12,
SUSTAIN, generalization, 52, 63, 2, 12,
SUSTAIN, generalization, 52, 38, 2, 12,
SUSTAIN, generalization, 52, 40, 1, 12,
SUSTAIN, generalization, 52, 31, 1, 12,
SUSTAIN, generalization, 52, 45, 1, 12,
SUSTAIN, generalization, 52, 8, 1.0, 13,
SUSTAIN, generalization, 52, 53, 2.0, 14,
SUSTAIN, generalization, 52, 6, 2, 14,
SUSTAIN, generalization, 52, 64, 1, 14,
SUSTAIN, generalization, 52, 13, 2, 14,
SUSTAIN, generalization, 52, 1, 2, 14,
SUSTAIN, generalization, 52, 26, 1.0, 15,
SUSTAIN, generalization, 52, 49, 1, 15,
SUSTAIN, generalization, 52, 29, 2, 15,
SUSTAIN, generalization, 52, 7, 1, 15,
SUSTAIN, generalization, 52, 56, 2, 15,
SUSTAIN, generalization, 52, 30, 2.0, 16,
SUSTAIN, generalization, 52, 47, 1, 16,
SUSTAIN, generalization, 52, 22, 2, 16,
SUSTAIN, generalization, 52, 2, 1, 16,
SUSTAIN, generalization, 52, 4, 1, 16,
SUSTAIN, generalization, 52, 36, 2, 16,
SUSTAIN, generalization, 52, 58, 1, 16,
SUSTAIN, generalization, 52, 54, 2, 16,
SUSTAIN, generalization, 52, 52, 2, 16,
SUSTAIN, generalization, 52, 16, 1, 16,
SUSTAIN, generalization, 52, 15, 2, 16,
SUSTAIN, generalization, 52, 25, 1, 16,
SUSTAIN, generalization, 52, 41, 2.0, 17,
SUSTAIN, generalization, 52, 51, 1.0, 18,
SUSTAIN, generalization, 52, 28, 2.0, 19,
SUSTAIN, generalization, 52, 60, 1.0, 20,
SUSTAIN, generalization, 52, 48, 1.0, 21,
SUSTAIN, generalization, 52, 42, 2, 21,
SUSTAIN, generalization, 52, 43, 2.0, 22,
SUSTAIN, generalization, 52, 3, 1, 22,
SUSTAIN, generalization, 52, 34, 2.0, 23,
SUSTAIN, generalization, 52, 55, 2, 23,
SUSTAIN, generalization, 52, 61, 1, 23,
SUSTAIN, generalization, 52, 27, 2, 23,
SUSTAIN, generalization, 52, 50, 1, 23,
SUSTAIN, generalization, 52, 19, 1, 23,
SUSTAIN, generalization, 52, 33, 2, 23,
SUSTAIN, generalization, 52, 23, 2.0, 24,
SUSTAIN, generalization, 53, 4, 1, 7,
SUSTAIN, generalization, 53, 9, 1, 7,
SUSTAIN, generalization, 53, 53, 1, 7,
SUSTAIN, generalization, 53, 3, 1, 7,
SUSTAIN, generalization, 53, 37, 1.0, 8,
SUSTAIN, generalization, 53, 58, 1.0, 9,
SUSTAIN, generalization, 53, 64, 1, 9,
SUSTAIN, generalization, 53, 17, 1, 9,
SUSTAIN, generalization, 53, 61, 2, 9,
SUSTAIN, generalization, 53, 2, 1, 9,
SUSTAIN, generalization, 53, 42, 2.0, 10,
SUSTAIN, generalization, 53, 22, 2.0, 11,
SUSTAIN, generalization, 53, 63, 2, 11,
SUSTAIN, generalization, 53, 8, 1.0, 12,
SUSTAIN, generalization, 53, 49, 1, 12,
SUSTAIN, generalization, 53, 19, 1.0, 13,
SUSTAIN, generalization, 53, 40, 2.0, 14,
SUSTAIN, generalization, 53, 45, 1, 14,
SUSTAIN, generalization, 53, 5, 1.0, 15,
SUSTAIN, generalization, 53, 51, 2.0, 16,
SUSTAIN, generalization, 53, 13, 1, 16,
SUSTAIN, generalization, 53, 31, 1.0, 17,
SUSTAIN, generalization, 53, 27, 1, 17,
SUSTAIN, generalization, 53, 30, 1, 17,
SUSTAIN, generalization, 53, 46, 1.0, 18,
SUSTAIN, generalization, 53, 47, 1, 18,
SUSTAIN, generalization, 53, 38, 1, 18,
SUSTAIN, generalization, 53, 11, 1, 18,
SUSTAIN, generalization, 53, 50, 2, 18,
SUSTAIN, generalization, 53, 1, 2, 18,
SUSTAIN, generalization, 53, 29, 1, 18,
SUSTAIN, generalization, 53, 28, 2.0, 19,
SUSTAIN, generalization, 53, 48, 2, 19,
SUSTAIN, generalization, 53, 18, 1, 19,
SUSTAIN, generalization, 53, 57, 1, 19,
SUSTAIN, generalization, 53, 36, 1, 19,
SUSTAIN, generalization, 53, 56, 2, 19,
SUSTAIN, generalization, 53, 62, 2, 19,
SUSTAIN, generalization, 53, 44, 2.0, 20,
SUSTAIN, generalization, 53, 24, 1.0, 21,
SUSTAIN, generalization, 53, 20, 1, 21,
SUSTAIN, generalization, 53, 6, 1, 21,
SUSTAIN, generalization, 53, 52, 2, 21,
SUSTAIN, generalization, 53, 55, 2, 21,
SUSTAIN, generalization, 53, 34, 2, 21,
SUSTAIN, generalization, 53, 43, 2, 21,
SUSTAIN, generalization, 53, 14, 2, 21,
SUSTAIN, generalization, 53, 26, 1.0, 22,
SUSTAIN, generalization, 53, 12, 1.0, 23,
SUSTAIN, generalization, 53, 7, 1, 23,
SUSTAIN, generalization, 53, 33, 1.0, 24,
SUSTAIN, generalization, 53, 41, 2, 24,
SUSTAIN, generalization, 53, 39, 2, 24,
SUSTAIN, generalization, 53, 32, 1, 24,
SUSTAIN, generalization, 53, 25, 1, 24,
SUSTAIN, generalization, 53, 16, 2.0, 25,
SUSTAIN, generalization, 53, 15, 2, 25,
SUSTAIN, generalization, 53, 10, 1, 25,
SUSTAIN, generalization, 53, 21, 2, 25,
SUSTAIN, generalization, 53, 35, 1.0, 26,
SUSTAIN, generalization, 53, 60, 2.0, 27,
SUSTAIN, generalization, 53, 54, 1, 27,
SUSTAIN, generalization, 53, 59, 2, 27,
SUSTAIN, generalization, 53, 23, 1, 27,
SUSTAIN, generalization, 54, 42, 2.0, 7,
SUSTAIN, generalization, 54, 21, 2.0, 8,
SUSTAIN, generalization, 54, 37, 2, 8,
SUSTAIN, generalization, 54, 56, 2, 8,
SUSTAIN, generalization, 54, 60, 2, 8,
SUSTAIN, generalization, 54, 20, 2, 8,
SUSTAIN, generalization, 54, 64, 1, 8,
SUSTAIN, generalization, 54, 59, 1.0, 9,
SUSTAIN, generalization, 54, 29, 2, 9,
SUSTAIN, generalization, 54, 52, 1, 9,
SUSTAIN, generalization, 54, 44, 2, 9,
SUSTAIN, generalization, 54, 61, 2, 9,
SUSTAIN, generalization, 54, 30, 2, 9,
SUSTAIN, generalization, 54, 48, 2, 9,
SUSTAIN, generalization, 54, 33, 1.0, 10,
SUSTAIN, generalization, 54, 39, 1.0, 11,
SUSTAIN, generalization, 54, 10, 1, 11,
SUSTAIN, generalization, 54, 36, 2.0, 12,
SUSTAIN, generalization, 54, 34, 1, 12,
SUSTAIN, generalization, 54, 54, 2, 12,
SUSTAIN, generalization, 54, 55, 2, 12,
SUSTAIN, generalization, 54, 25, 1, 12,
SUSTAIN, generalization, 54, 4, 1, 12,
SUSTAIN, generalization, 54, 15, 1.0, 13,
SUSTAIN, generalization, 54, 41, 2, 13,
SUSTAIN, generalization, 54, 8, 2.0, 14,
SUSTAIN, generalization, 54, 7, 2, 14,
SUSTAIN, generalization, 54, 1, 2, 14,
SUSTAIN, generalization, 54, 27, 1.0, 15,
SUSTAIN, generalization, 54, 51, 1, 15,
SUSTAIN, generalization, 54, 31, 1, 15,
SUSTAIN, generalization, 54, 2, 1, 15,
SUSTAIN, generalization, 54, 57, 1.0, 16,
SUSTAIN, generalization, 54, 19, 1, 16,
SUSTAIN, generalization, 54, 18, 2.0, 17,
SUSTAIN, generalization, 54, 12, 2.0, 18,
SUSTAIN, generalization, 54, 23, 1, 18,
SUSTAIN, generalization, 54, 62, 2, 18,
SUSTAIN, generalization, 54, 11, 2, 18,
SUSTAIN, generalization, 54, 40, 1, 18,
SUSTAIN, generalization, 54, 3, 1, 18,
SUSTAIN, generalization, 54, 46, 1.0, 19,
SUSTAIN, generalization, 54, 14, 1, 19,
SUSTAIN, generalization, 54, 47, 1, 19,
SUSTAIN, generalization, 54, 50, 2, 19,
SUSTAIN, generalization, 54, 43, 2, 19,
SUSTAIN, generalization, 54, 45, 1, 19,
SUSTAIN, generalization, 54, 22, 2, 19,
SUSTAIN, generalization, 54, 35, 2, 19,
SUSTAIN, generalization, 54, 28, 1, 19,
SUSTAIN, generalization, 54, 17, 2, 19,
SUSTAIN, generalization, 54, 53, 1.0, 20,
SUSTAIN, generalization, 54, 6, 1.0, 21,
SUSTAIN, generalization, 54, 9, 1, 21,
SUSTAIN, generalization, 54, 63, 2, 21,
SUSTAIN, generalization, 54, 49, 2.0, 22,
SUSTAIN, generalization, 54, 26, 1, 22,
SUSTAIN, generalization, 54, 58, 1, 22,
SUSTAIN, generalization, 54, 24, 1.0, 23,
SUSTAIN, generalization, 54, 38, 1, 23,
SUSTAIN, generalization, 54, 5, 1, 23,
SUSTAIN, generalization, 54, 32, 2.0, 24,
SUSTAIN, generalization, 54, 13, 2, 24,
SUSTAIN, generalization, 54, 16, 1, 24,
SUSTAIN, generalization, 55, 23, 1.0, 7,
SUSTAIN, generalization, 55, 31, 1, 7,
SUSTAIN, generalization, 55, 14, 1, 7,
SUSTAIN, generalization, 55, 38, 1.0, 8,
SUSTAIN, generalization, 55, 35, 1, 8,
SUSTAIN, generalization, 55, 51, 1.0, 9,
SUSTAIN, generalization, 55, 42, 1, 9,
SUSTAIN, generalization, 55, 1, 2, 9,
SUSTAIN, generalization, 55, 19, 2.0, 10,
SUSTAIN, generalization, 55, 60, 1, 10,
SUSTAIN, generalization, 55, 53, 1, 10,
SUSTAIN, generalization, 55, 39, 1, 10,
SUSTAIN, generalization, 55, 45, 1, 10,
SUSTAIN, generalization, 55, 34, 2.0, 11,
SUSTAIN, generalization, 55, 7, 1.0, 12,
SUSTAIN, generalization, 55, 59, 1, 12,
SUSTAIN, generalization, 55, 8, 1, 12,
SUSTAIN, generalization, 55, 26, 2, 12,
SUSTAIN, generalization, 55, 24, 1, 12,
SUSTAIN, generalization, 55, 57, 1.0, 13,
SUSTAIN, generalization, 55, 9, 1, 13,
SUSTAIN, generalization, 55, 37, 1, 13,
SUSTAIN, generalization, 55, 32, 1.0, 14,
SUSTAIN, generalization, 55, 54, 2, 14,
SUSTAIN, generalization, 55, 36, 1, 14,
SUSTAIN, generalization, 55, 2, 1, 14,
SUSTAIN, generalization, 55, 15, 1, 14,
SUSTAIN, generalization, 55, 11, 2, 14,
SUSTAIN, generalization, 55, 6, 1, 14,
SUSTAIN, generalization, 55, 46, 1, 14,
SUSTAIN, generalization, 55, 30, 1, 14,
